"subject"	"activity"	"Id"	"feature"	"mean"
7	"STANDING"	5	"tBodyAcc-mean()-X"	0.282723539433962
7	"WALKING"	1	"tBodyAcc-mean()-X"	0.275592961754386
7	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.28030708
7	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.248706923078431
8	"LAYING"	6	"tBodyAcc-mean()-X"	0.261254282907407
8	"SITTING"	4	"tBodyAcc-mean()-X"	0.267491472934783
8	"STANDING"	5	"tBodyAcc-mean()-X"	0.279620986111111
8	"WALKING"	1	"tBodyAcc-mean()-X"	0.27468631
8	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.283484089210526
8	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.258880152048781
9	"LAYING"	6	"tBodyAcc-mean()-X"	0.2591955368
9	"SITTING"	4	"tBodyAcc-mean()-X"	0.24832674354
9	"STANDING"	5	"tBodyAcc-mean()-X"	0.282310057333333
9	"WALKING"	1	"tBodyAcc-mean()-X"	0.278502842115385
9	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.295923445
9	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.262436475714286
10	"LAYING"	6	"tBodyAcc-mean()-X"	0.280230574137931
10	"SITTING"	4	"tBodyAcc-mean()-X"	0.270612056481481
10	"STANDING"	5	"tBodyAcc-mean()-X"	0.276650300681818
10	"WALKING"	1	"tBodyAcc-mean()-X"	0.278574076603774
10	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.290401594315789
10	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.267121853404255
11	"LAYING"	6	"tBodyAcc-mean()-X"	0.280592970877193
11	"SITTING"	4	"tBodyAcc-mean()-X"	0.276590197358491
11	"STANDING"	5	"tBodyAcc-mean()-X"	0.277715562765957
11	"WALKING"	1	"tBodyAcc-mean()-X"	0.271821892881356
11	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.291605631956522
11	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.263775859277778
12	"LAYING"	6	"tBodyAcc-mean()-X"	0.260113433
12	"SITTING"	4	"tBodyAcc-mean()-X"	0.275007224901961
12	"STANDING"	5	"tBodyAcc-mean()-X"	0.277405834918033
12	"WALKING"	1	"tBodyAcc-mean()-X"	0.2771286656
12	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.281521097391304
12	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.272970338653846
13	"LAYING"	6	"tBodyAcc-mean()-X"	0.276716360483871
13	"SITTING"	4	"tBodyAcc-mean()-X"	0.274328499591837
13	"STANDING"	5	"tBodyAcc-mean()-X"	0.277758431052632
13	"WALKING"	1	"tBodyAcc-mean()-X"	0.275883130350877
13	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.294907553404255
13	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.258203939581818
14	"LAYING"	6	"tBodyAcc-mean()-X"	0.233275439803922
14	"SITTING"	4	"tBodyAcc-mean()-X"	0.279990577037037
14	"STANDING"	5	"tBodyAcc-mean()-X"	0.280545613833333
14	"WALKING"	1	"tBodyAcc-mean()-X"	0.271959598644068
14	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.293422115555556
14	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.26242106612963
15	"LAYING"	6	"tBodyAcc-mean()-X"	0.2894756525
15	"SITTING"	4	"tBodyAcc-mean()-X"	0.27290337979661
15	"STANDING"	5	"tBodyAcc-mean()-X"	0.278915803962264
15	"WALKING"	1	"tBodyAcc-mean()-X"	0.273899207962963
15	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.280198851190476
15	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.270187595833333
16	"LAYING"	6	"tBodyAcc-mean()-X"	0.274227162571429
16	"SITTING"	4	"tBodyAcc-mean()-X"	0.280768574492754
16	"STANDING"	5	"tBodyAcc-mean()-X"	0.283497402948718
16	"WALKING"	1	"tBodyAcc-mean()-X"	0.276023564509804
16	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.295586802191489
16	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.255986102627451
17	"LAYING"	6	"tBodyAcc-mean()-X"	0.269780085577465
17	"SITTING"	4	"tBodyAcc-mean()-X"	0.2773570196875
17	"STANDING"	5	"tBodyAcc-mean()-X"	0.277942503333333
17	"WALKING"	1	"tBodyAcc-mean()-X"	0.272341855245902
17	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.29391828326087
17	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.252604768583333
18	"LAYING"	6	"tBodyAcc-mean()-X"	0.274691576923077
18	"SITTING"	4	"tBodyAcc-mean()-X"	0.27727001877193
18	"STANDING"	5	"tBodyAcc-mean()-X"	0.278458805890411
18	"WALKING"	1	"tBodyAcc-mean()-X"	0.273887758571429
18	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.288439468909091
18	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.265401201896552
19	"LAYING"	6	"tBodyAcc-mean()-X"	0.272653733493976
19	"SITTING"	4	"tBodyAcc-mean()-X"	0.273830316164384
19	"STANDING"	5	"tBodyAcc-mean()-X"	0.27817226
19	"WALKING"	1	"tBodyAcc-mean()-X"	0.273931172307692
19	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.262688053871795
19	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.242118808925
20	"LAYING"	6	"tBodyAcc-mean()-X"	0.239507882205882
20	"SITTING"	4	"tBodyAcc-mean()-X"	0.278045439090909
20	"STANDING"	5	"tBodyAcc-mean()-X"	0.278076904657534
20	"WALKING"	1	"tBodyAcc-mean()-X"	0.272589336470588
20	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.296144421355556
20	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.252098317156863
21	"LAYING"	6	"tBodyAcc-mean()-X"	0.271325472455556
21	"SITTING"	4	"tBodyAcc-mean()-X"	0.277539616823529
21	"STANDING"	5	"tBodyAcc-mean()-X"	0.27695224258427
21	"WALKING"	1	"tBodyAcc-mean()-X"	0.279183526730769
21	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.3014610196
21	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.265194544680851
22	"LAYING"	6	"tBodyAcc-mean()-X"	0.279959721194444
22	"SITTING"	4	"tBodyAcc-mean()-X"	0.273583822709677
22	"STANDING"	5	"tBodyAcc-mean()-X"	0.279053861587302
22	"WALKING"	1	"tBodyAcc-mean()-X"	0.27886459
22	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.284458963861111
22	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.248391534566667
23	"LAYING"	6	"tBodyAcc-mean()-X"	0.274038007986111
23	"SITTING"	4	"tBodyAcc-mean()-X"	0.273351251617647
23	"STANDING"	5	"tBodyAcc-mean()-X"	0.277899323235294
23	"WALKING"	1	"tBodyAcc-mean()-X"	0.273211884237288
23	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.289897411148148
23	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.249995171031373
24	"LAYING"	6	"tBodyAcc-mean()-X"	0.272850494930556
24	"SITTING"	4	"tBodyAcc-mean()-X"	0.273475690147059
24	"STANDING"	5	"tBodyAcc-mean()-X"	0.280348883913043
24	"WALKING"	1	"tBodyAcc-mean()-X"	0.276980816034483
24	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.288631208909091
24	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.269881106779661
25	"LAYING"	6	"tBodyAcc-mean()-X"	0.250791828613699
25	"SITTING"	4	"tBodyAcc-mean()-X"	0.278541482461538
25	"STANDING"	5	"tBodyAcc-mean()-X"	0.278013701621622
25	"WALKING"	1	"tBodyAcc-mean()-X"	0.278992759054054
25	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.291329666206897
25	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.277995411384615
26	"LAYING"	6	"tBodyAcc-mean()-X"	0.271645864540789
26	"SITTING"	4	"tBodyAcc-mean()-X"	0.258243530166667
26	"STANDING"	5	"tBodyAcc-mean()-X"	0.281127035405405
26	"WALKING"	1	"tBodyAcc-mean()-X"	0.279264443728814
26	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.2792845828
26	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.272691394545455
27	"LAYING"	6	"tBodyAcc-mean()-X"	0.274102492432432
27	"SITTING"	4	"tBodyAcc-mean()-X"	0.273941302571429
27	"STANDING"	5	"tBodyAcc-mean()-X"	0.279566921625
27	"WALKING"	1	"tBodyAcc-mean()-X"	0.276849485438596
27	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.2975441875
27	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.265770253921569
28	"LAYING"	6	"tBodyAcc-mean()-X"	0.2759134825
28	"SITTING"	4	"tBodyAcc-mean()-X"	0.276977629444444
28	"STANDING"	5	"tBodyAcc-mean()-X"	0.277795069113924
28	"WALKING"	1	"tBodyAcc-mean()-X"	0.281228223888889
28	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.293642076521739
28	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.262005841764706
29	"LAYING"	6	"tBodyAcc-mean()-X"	0.287295196811594
29	"SITTING"	4	"tBodyAcc-mean()-X"	0.2771799775
29	"STANDING"	5	"tBodyAcc-mean()-X"	0.277965065846154
29	"WALKING"	1	"tBodyAcc-mean()-X"	0.271999916792453
29	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.293140441083333
29	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.265423066877551
30	"LAYING"	6	"tBodyAcc-mean()-X"	0.281033900571429
30	"SITTING"	4	"tBodyAcc-mean()-X"	0.268336081379032
30	"STANDING"	5	"tBodyAcc-mean()-X"	0.277112699152542
30	"WALKING"	1	"tBodyAcc-mean()-X"	0.276406758
30	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-X"	0.283190646967742
30	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-X"	0.271415642261538
1	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0405139534294
1	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00130828765170213
1	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0161375901037736
1	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0173838185273684
1	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.00991850461020408
1	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0239531492643396
2	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0181587397583333
2	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0156879937282609
2	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0184208270166667
2	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0185949199145763
2	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0226614158361702
2	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0214121132045833
3	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0189556785048387
3	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00350299841730769
3	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0143376555065574
3	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0171767844203448
3	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0193554079328571
3	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0324109410555932
4	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0150031841055556
4	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.007163065158
4	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.00948911098553571
4	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0148399475341667
4	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.00980200850666667
4	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0319804295729615
5	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0183042123269231
5	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00990083527045455
5	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.00700418554517857
5	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0172850317482679
5	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.00850107533191489
5	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0325269755153191
6	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0102529170561404
6	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0145911615290909
6	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0181236327175439
6	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0168954189082456
6	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.019536840063125
6	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0272425385070588
7	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0204411516884615
7	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.01461097580375
7	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0145740341037736
7	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.018653665345614
7	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0166332372978723
7	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0275639005607843
8	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0212281733881481
8	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00672550621304348
8	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0148113067148148
8	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0186628865310417
8	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0211058674973684
8	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0282415136341463
9	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.020526821662
9	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.02701677698
9	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0200454954022222
9	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0180891971284423
9	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0203994269075476
9	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0195101099975714
10	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.024294484137931
10	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.015042681852037
10	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0155418603409091
10	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.017022351190566
10	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0200050770710526
10	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0143854920340426
11	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0176598052315789
11	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0149195616754717
11	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0171990886595745
11	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0166475833623729
11	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0178097721219565
11	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0303157822055556
12	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0175203917146667
12	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0157892988523529
12	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0169002543196721
12	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.015560927606
12	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.018084266865793
12	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0263574903403846
13	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.020440454366129
13	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00587732936326531
13	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0167891993964912
13	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0185660651947368
13	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0143723839108511
13	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0277392253910909
14	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0113424652490196
14	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00870565463888889
14	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.01520781344
14	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0217785380966102
14	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0200141413657778
14	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0204388180024074
15	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0166296542054167
15	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0117188472271186
15	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0183516360396226
15	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0170809740090741
15	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.00563047804309524
15	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0287523860708333
16	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0166103510562857
16	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0102497939956522
16	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0165999672935897
16	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0204286929452941
16	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0183898583787234
16	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0143654945011765
17	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0168462006729577
17	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.014156274084375
17	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0174120064169231
17	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0184875403339344
17	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0167359404347826
17	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0228645614308333
18	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0173937684615385
18	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0128691279736842
18	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0166353518150685
18	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0178023631866071
18	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0168666920221818
18	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0222060684378914
19	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0171426864421687
19	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.016739260030137
19	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0154244056945205
19	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0191773587903846
19	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0145942275069487
19	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0303986615775
20	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0144406281132353
20	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0147229305131818
20	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0180695049161644
20	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.021199992245098
20	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.00964120773155556
20	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0282258047588235
21	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0184233048415556
21	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0144009705494118
21	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0167084730205618
21	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0181610317526923
21	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0173195390157778
21	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0237218695148936
22	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0142629864502778
22	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0123468446419355
22	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0158563207496825
22	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0167213607957174
22	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0197999371686389
22	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0268622561133333
23	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0216553835833333
23	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0133945015676471
23	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0177475547867647
23	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0183618711932203
23	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0162111457238889
23	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0323844029237255
24	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0173555210111111
24	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0131255097938235
24	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0144785340348986
24	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0225446400534483
24	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0145730348310909
24	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0251979434569492
25	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0188943663671233
25	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0147696808030769
25	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0163569730274324
25	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0186477624716216
25	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0210170522987931
25	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0269863524264615
26	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0191895728026316
26	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.00713364541358974
26	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0166608306652703
26	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0154259586949153
26	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.01262580966778
26	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0281633797398182
27	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0179867611216216
27	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0155269799285714
27	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.016593236445
27	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0166478783221912
27	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0135564467159091
27	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0200953324078431
28	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0167537858225
28	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.0185404441258333
28	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0172635124672152
28	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0156759722981481
28	"WALKING_DOWNSTAIRS"	3	"tBodyAcc-mean()-Y"	-0.0220230465913043
28	"WALKING_UPSTAIRS"	2	"tBodyAcc-mean()-Y"	-0.0279443943478431
29	"LAYING"	6	"tBodyAcc-mean()-Y"	-0.0171965484202899
29	"SITTING"	4	"tBodyAcc-mean()-Y"	-0.016630680375
29	"STANDING"	5	"tBodyAcc-mean()-Y"	-0.0172605869061538
29	"WALKING"	1	"tBodyAcc-mean()-Y"	-0.0162915600588679
